PRJEB45799(Saliva)
CNP0001221(Saliva)
PRJNA832909(Saliva)
PRJNA217052(Saliva)
PRJEB62577(Saliva)
PRJEB6997(Saliva)
PRJEB37731(Saliva)
PRJNA288562(Saliva)
PRJNA289586(Saliva)
PRJEB54966(Saliva)
PRJNA470402(Saliva)
PRJNA765566(Saliva)
PRJNA380727(Saliva)
PRJEB28422(Saliva)
PRJNA757846(Saliva)
PRJNA380711(Saliva)
PRJNA678453(Saliva)
PRJEB69217(Saliva)
PRJNA752888(Saliva)
PRJEB14383(Saliva)
PRJNA762543(Saliva)
PRJNA407905(Saliva)
PRJNA853496(Saliva)
PRJNA932553(Saliva)
PRJEB54673(Dental plaque)
HMP(Dental plaque)
PRJEB6997(Dental plaque)
PRJNA255922(Dental plaque)
PRJNA383868(Dental plaque)
PRJEB42572(Dental plaque)
CRA004105(Dental plaque)
PRJNA275349(Dental plaque)
PRJNA625082(Dental plaque)
PRJNA752888(Dental plaque)
PRJNA597465(Dental plaque)
PRJNA230363(Dental plaque)
HMP(Tongue)
PRJNA699281(Tongue)
PRJNA879058(Tongue)
PRJNA275349(Tongue)
PRJNA352475(Tongue)
PRJNA625082(Tongue)
PRJNA678453(Tongue)
LT (unpublished)(BALF)
PRJNA993600(BALF)
PRJNA688510(BALF)
PRJNA737316(BALF)
PRJNA741852(BALF)
PRJNA687506(BALF)
PRJNA419524(BALF)
PRJNA876769(BALF)
PRJNA655567(BALF)
PRJNA845064(BALF)
PRJNA603592(BALF)
PRJNA729853(BALF)
PRJNA392272(BALF)
BWPR (this study)(Sputum)
PRJNA530252(Sputum)
VP (unpublished)(Sputum)
CRA019395(Sputum)
PRJNA852674(Sputum)
PRJNA516870(Sputum)
PRJNA741852(Sputum)
INFA (unpublished)(Sputum)
PRJNA946921(Sputum)
INFPN (unpublished)(Sputum)
PRJEB28158(Sputum)
PRJNA765792(Sputum)
BWPR (this study)(Oropharynx)
CRA020169(Oropharynx)
PRJNA413615(Oropharynx)
PRJEB41223(Oropharynx)
CHURTI (unpublished)(Oropharynx)
PRJNA1101448(Oropharynx)
PRJNA801796(Oropharynx)
