obs	shann
010090O1V2	1190	5.75074719662295
010089	1533	6.27677584916508
010093	1541	5.86964933249575
010128	1112	5.32829439487989
010100	1140	5.57147195335303
010118O2V1	849	5.35842049008608
010105	1258	5.68703757715198
010130-01V3	1142	6.00380038218627
010130-01V2	1458	6.22427767149375
010122-01V1	1232	5.97501517585114
010109O2V2	993	5.90612894089174
010131	724	5.03465316981809
010110-01V1	1219	5.83501594200116
010104	1268	6.0168859190424
010134-01V3	1059	5.66441361593952
010119	1532	6.03710996679636
010109-V1	1043	5.51480515062658
010114O1V2	1159	6.06324676215703
010122-01V2	851	5.33125043463058
010134O2V1	1397	6.23615280020907
010135O4V3	1452	6.31605916403811
010109-04V2	1077	5.4186689074083
010135-02V3	1371	5.9518633856566
010130-01V1	1407	5.9791942754524
010135-02V2	1339	5.3368597274101
010138	991	5.34627059345445
010134O2V2	1008	5.95447067712012
010139O2V2	690	4.97533200332388
010134O2V3	1269	6.0839585286338
010122-V3	1326	6.15150554928943
010120	1071	5.79854525483945
010110	1246	6.02552200475153
010133	1106	5.82694193055518
010134-V1	1267	6.05219788329087
010134-01V2	1549	5.93128129953881
010139O2V3	601	5.00872572877807
010118O2V3	729	5.16596949924613
010135O4V2	1405	5.88776602939836
010140O1V2	1242	4.99569828783936
010118O2V2	904	5.59480772545538
010126	1095	5.824824275408
010127	1371	5.99169316314741
010115	1142	5.87633982136742
010140O1V3	894	5.34477760027183
010145O1V2	1169	5.83239173522541
010134	1204	6.10799413502552
010116	871	5.62094407124802
010130	1204	6.08514198337008
010114O1V3	812	5.20258260480296
010129	1114	5.80905902168483
010135-V1	1471	5.95320372731726
010137	1243	6.19311733948971
010109	1404	6.23177239727316
010135	1291	6.1470156813926
010145O1V1	1403	6.11687143868838
010117	1133	5.95174992932409
010122	1202	6.17485313102004
010142O0B0	1321	6.04499739951533
010145O1V3	1106	5.15427492872531
010145	1356	6.17413527746757
010149O4V3	889	4.84905262550101
010148-01V3	1339	6.04904150938659
010149-03V3	1021	5.64429250268503
010124	605	4.0437334571249
010145O2V2	1009	5.54151000124161
010149-03V2	964	5.15146734509613
010149O4V2	1304	5.92574936751621
010149O5V2	976	5.09476048685041
010145O2V3	1109	5.80282809594478
010150	824	5.53626234007317
