DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	lifestyle
COLOR	#ff0000
FIELD_COLORS	#df5173	#27537c	#ccd3d3
FIELD_LABELS	Temperate	Virulent	unclassified

DASHED_LINES	1
WIDTH	75
MARGIN	25
HEIGHT_FACTOR	2

DATA
OAPGCV003504	0	90.74733096	9.252669039
OAPGCV025479	0	91.42185664	8.578143361
OAPGCV067995	0	100	0
OAPGCV064992	0	98.1981982	1.801801802
OAPGCV024176	31.15384615	64.61538462	4.230769231
OAPGCV016206	0	61.73913043	38.26086957
OAPGCV011376	0	83.27645051	16.72354949
OAPGCV017566	75.29691211	18.52731591	6.175771971
OAPGCV045460	56	38.28571429	5.714285714
OAPGCV007582	0.119904077	43.64508393	56.23501199
OAPGCV058286	0	100	0
OAPGCV050213	61.17647059	35.88235294	2.941176471
OAPGCV000006	0	100	0
OAPGCV020718	0	71.95402299	28.04597701
OAPGCV068337	100	0	0
OAPGCV058238	66.66666667	33.33333333	0
OAPGCV018929	0	88.88888889	11.11111111
OAPGCV065017	0	84.83870968	15.16129032
OAPGCV033854	30.17241379	66.81034483	3.017241379
OAPGCV042770	100	0	0
OAPGCV033773	100	0	0
OAPGCV055135	94.68438538	1.328903654	3.986710963
OAPGCV049775	84.23019432	10.98654709	4.783258595
OAPGCV015560	87.5	0	12.5
OAPGCV044970	93.10344828	3.448275862	3.448275862
OAPGCV058709	100	0	0
OAPGCV058442	0	100	0
OAPGCV050471	0	93.96551724	6.034482759
OAPGCV065648	100	0	0
OAPGCV054904	100	0	0
OAPGCV006036	100	0	0
OAPGCV050530	19.04761905	42.85714286	38.0952381
OAPGCV007298	100	0	0
OAPGCV032025	100	0	0
OAPGCV027397	0	70.27027027	29.72972973
OAPGCV007662	0	91.70896785	8.291032149
OAPGCV013350	0	100	0
OAPGCV032371	0	0	100
OAPGCV006559	0	79.54545455	20.45454545
OAPGCV014404	0	100	0
OAPGCV009626	82.10526316	17.89473684	0
OAPGCV002564	93.33333333	6.25	0.416666667
OAPGCV067987	92.88702929	4.60251046	2.510460251
OAPGCV025780	0	88.46153846	11.53846154
OAPGCV026001	85.08287293	13.8121547	1.104972376
OAPGCV012121	87.72563177	11.9133574	0.36101083
OAPGCV034262	0	71.57894737	28.42105263
OAPGCV042722	61.9047619	14.28571429	23.80952381
OAPGCV041683	37.97468354	61.26582278	0.759493671
OAPGCV036044	100	0	0
OAPGCV046398	78.26086957	4.347826087	17.39130435
OAPGCV063933	4	76	20
OAPGCV036774	0	100	0
OAPGCV037310	0	100	0
OAPGCV066438	0	99.15966387	0.840336134
OAPGCV064508	3.846153846	92.30769231	3.846153846
OAPGCV020751	0	100	0
OAPGCV001497	100	0	0
OAPGCV028677	86.95652174	13.04347826	0
OAPGCV026415	89	9	2
OAPGCV006677	0.543933054	90.83682008	8.619246862
OAPGCV027745	100	0	0
OAPGCV061920	0	92.10526316	7.894736842
OAPGCV006108	0	31.70731707	68.29268293
OAPGCV063154	0	100	0
OAPGCV062718	0	100	0
OAPGCV016405	0	89.47368421	10.52631579
OAPGCV016237	0.344827586	98.96551724	0.689655172
OAPGCV033986	0	76.92307692	23.07692308
OAPGCV038469	46.15384615	30.76923077	23.07692308
OAPGCV009615	70.45454545	6.818181818	22.72727273
OAPGCV004608	76.95852535	17.51152074	5.529953917
OAPGCV013987	75.64102564	17.94871795	6.41025641
OAPGCV046242	70.58823529	11.76470588	17.64705882
OAPGCV019873	100	0	0
OAPGCV005863	11.76470588	5.882352941	82.35294118
OAPGCV047475	0	100	0
OAPGCV054776	100	0	0
OAPGCV009919	79.81651376	13.76146789	6.422018349
OAPGCV002486	100	0	0
OAPGCV017502	85.71428571	14.28571429	0
OAPGCV066630	89.2287234	8.311170213	2.460106383
OAPGCV016363	90.50632911	9.367088608	0.126582278
OAPGCV051575	73.9608802	5.012224939	21.02689487
OAPGCV046101	81.16591928	8.520179372	10.31390135
OAPGCV057562	100	0	0
OAPGCV025011	88.37209302	10.23255814	1.395348837
OAPGCV051918	64.93506494	25.97402597	9.090909091
OAPGCV008969	88.78504673	8.411214953	2.803738318
OAPGCV042958	32.46073298	46.59685864	20.94240838
OAPGCV047349	100	0	0
OAPGCV045271	44.44444444	33.33333333	22.22222222
OAPGCV044194	99.52830189	0.471698113	0
OAPGCV045866	90.88541667	7.8125	1.302083333
OAPGCV001954	90.62909567	8.387942333	0.982961992
OAPGCV031108	100	0	0
OAPGCV058982	69.23076923	15.38461538	15.38461538
OAPGCV031981	94.73684211	5.263157895	0
OAPGCV044141	86.05769231	12.01923077	1.923076923
OAPGCV032590	84.21052632	10.52631579	5.263157895
OAPGCV042091	85.41666667	14.0625	0.520833333
OAPGCV045236	100	0	0
OAPGCV047345	94.23076923	3.846153846	1.923076923
OAPGCV049108	100	0	0
OAPGCV048348	50	0	50
OAPGCV051731	100	0	0
OAPGCV054045	90.77669903	4.368932039	4.854368932
OAPGCV036400	100	0	0
OAPGCV059708	79.27927928	0	20.72072072
OAPGCV008313	90.02375297	6.294536817	3.681710214
OAPGCV000971	0	100	0
OAPGCV056811	0	20	80
OAPGCV062938	0	100	0
OAPGCV032216	0	100	0
OAPGCV031769	0	69.07630522	30.92369478
OAPGCV001328	0	66.89655172	33.10344828
OAPGCV034811	0	89.47368421	10.52631579
OAPGCV055928	0	50	50
OAPGCV001746	0	90.90909091	9.090909091
OAPGCV028361	0	100	0
OAPGCV019762	0	100	0
OAPGCV031684	0	100	0
OAPGCV056986	0	91.76470588	8.235294118
OAPGCV029516	100	0	0
OAPGCV004633	0	75	25
OAPGCV058530	85.71428571	14.28571429	0
OAPGCV031031	100	0	0
OAPGCV046337	100	0	0
OAPGCV045592	100	0	0
OAPGCV049501	100	0	0
OAPGCV058792	90	5	5
OAPGCV037168	100	0	0
OAPGCV066885	0	100	0
OAPGCV065465	80	20	0
OAPGCV013656	71.42857143	14.28571429	14.28571429
OAPGCV065696	76.92307692	23.07692308	0
