DATASET_MULTIBAR

SEPARATOR	TAB
DATASET_LABEL	Host type
COLOR	#ff0000
FIELD_COLORS	#c51b7d	#4d9221
FIELD_LABELS	Eukaryotes  Virus	Prokaryotes Virus
DASHED_LINES	1

MARGIN	25
HEIGHT_FACTOR	2
WIDTH	75

DATA
OAPGCV009919	0	100
OAPGCV002486	0	100
OAPGCV017502	0	100
OAPGCV066630	0	100
OAPGCV016363	0	100
OAPGCV051575	0	100
OAPGCV046101	0	100
OAPGCV057562	0	100
OAPGCV025011	0	100
OAPGCV051918	0	100
OAPGCV008969	0	100
OAPGCV042958	0	100
OAPGCV047349	0	100
OAPGCV045271	0	100
OAPGCV044194	0	100
OAPGCV045866	0	100
OAPGCV001954	0	100
OAPGCV031108	0	100
OAPGCV058982	0	100
OAPGCV031981	0	100
OAPGCV044141	0	100
OAPGCV032590	0	100
OAPGCV042091	0	100
OAPGCV045236	0	100
OAPGCV047345	0	100
OAPGCV049108	0	100
OAPGCV048348	0	100
OAPGCV051731	0	100
OAPGCV054045	0	100
OAPGCV036400	0	100
OAPGCV059708	0	100
OAPGCV008313	0	100
OAPGCV000971	0	100
OAPGCV056811	0	100
OAPGCV062938	0	100
OAPGCV032216	0	100
OAPGCV031769	0	100
OAPGCV001328	0	100
OAPGCV034811	0	100
OAPGCV055928	0	100
OAPGCV001746	0	100
OAPGCV028361	0	100
OAPGCV019762	0	100
OAPGCV031684	0	100
OAPGCV056986	0	100
OAPGCV029516	0	100
OAPGCV004633	0	100
OAPGCV058530	0	100
OAPGCV031031	0	100
OAPGCV046337	0	100
OAPGCV045592	0	100
OAPGCV049501	0	100
OAPGCV058792	0	100
OAPGCV037168	0	100
OAPGCV066885	0	100
OAPGCV065465	0	100
OAPGCV013656	0	100
OAPGCV065696	0	100
OAPGCV006822	0	100
OAPGCV032100	0	100
OAPGCV045628	0	100
OAPGCV068298	0	100
OAPGCV058900	0	100
OAPGCV032043	0	100
OAPGCV030321	0	100
OAPGCV039764	0	100
OAPGCV067568	0	100
OAPGCV039939	0	100
OAPGCV059972	0	100
OAPGCV063471	0	100
OAPGCV036786	0	100
OAPGCV064818	0	100
OAPGCV025827	0	100
OAPGCV043885	0	100
OAPGCV051565	0	100
OAPGCV036352	0	100
OAPGCV053426	0	100
OAPGCV058000	0	100
OAPGCV065359	0	100
OAPGCV059004	0	100
OAPGCV037392	0	100
OAPGCV051568	0	100
OAPGCV057993	0	100
OAPGCV016072	0	100
OAPGCV061571	0	100
OAPGCV051286	0	100
OAPGCV014483	0	100
OAPGCV031892	0	100
OAPGCV068303	0	100
OAPGCV049112	0	100
OAPGCV057413	0	100
OAPGCV063301	0	100
OAPGCV048722	0	100
OAPGCV048654	0	100
OAPGCV064996	0	100
OAPGCV046282	0	100
OAPGCV068055	0	100
OAPGCV051599	0	100
OAPGCV049914	0	100
OAPGCV064728	0	100
OAPGCV064958	0	100
OAPGCV064213	0	100
OAPGCV060789	0	100
OAPGCV006392	0	100
OAPGCV023748	0	100
OAPGCV065934	0	100
OAPGCV051201	0	100
OAPGCV055304	0	100
OAPGCV066510	0	100
OAPGCV033827	0	100
OAPGCV043796	0	100
OAPGCV004708	0	100
OAPGCV042819	0	100
OAPGCV047994	0	100
OAPGCV058593	0	100
OAPGCV018177	0	100
OAPGCV065512	0	100
OAPGCV062365	0	100
OAPGCV031989	0	100
OAPGCV063492	0	100
OAPGCV040267	0	100
OAPGCV064868	0	100
OAPGCV009921	0	100
OAPGCV058001	0	100
OAPGCV014062	0	100
OAPGCV060101	0	100
OAPGCV038840	0	100
OAPGCV027100	0	100
OAPGCV054709	0	100
OAPGCV025654	0	100
OAPGCV011951	0	100
OAPGCV064043	0	100
OAPGCV058131	0	100
OAPGCV029748	0	100
OAPGCV029946	0	100
OAPGCV032812	0	100
OAPGCV049301	0	100
OAPGCV068334	0	100
OAPGCV060535	0	100
OAPGCV055093	0	100
OAPGCV005810	0	100
OAPGCV052535	0	100
OAPGCV050072	0	100
OAPGCV062864	0	100
OAPGCV066918	0	100
OAPGCV008408	0	100
OAPGCV050312	0	100
OAPGCV044930	0	100
OAPGCV019436	0	100
OAPGCV013639	0	100
OAPGCV056605	0	100
OAPGCV040479	0	100
OAPGCV052161	0	100
OAPGCV067899	0	100
OAPGCV048093	0	100
OAPGCV029560	0	100
OAPGCV047902	0	100
OAPGCV001841	0	100
OAPGCV010804	0	100
OAPGCV032494	0	100
OAPGCV068143	0	100
OAPGCV021279	0	100
OAPGCV025482	0	100
OAPGCV044435	0	100
OAPGCV045097	0	100
OAPGCV029309	0	100
OAPGCV015981	0	100
OAPGCV027205	0	100
OAPGCV055160	0	100
OAPGCV062780	0	100
OAPGCV049023	0	100
OAPGCV032093	0	100
OAPGCV067996	0	100
